id,class
3fc7ecd2e,70
ce50aea06,67
80a490799,80
d45ba5294,82
648f4510b,73
869dc6cf2,4
d93ee90f0,49
7c7041904,80
6f913e236,77
d123e8a1d,68
8e2d3afdd,48
a905cef07,67
d901e8ecf,49
a6737efba,19
e4a40fc50,99
9b454a4fc,4
3b33d5a15,49
84b7ae42a,67
6c9afe8c7,48
ff66378cf,5
d181db35b,83
13785b006,48
8dc5fc967,53
35b498443,48
5504d1711,53
7c1d86f6b,82
2636cc31c,32
31105c673,16
a0788f6d2,75
980a31450,97
e3a4336dc,14
fd0e7a7f0,47
b3e097909,10
4ec4282a1,73
ed57df35a,77
950c17dec,103
72724c44e,26
634082d19,102
2a61358a0,0
372cc9a9e,102
bbca9ae9c,68
a38b893fe,47
89e216e3f,49
cb04b0a36,17
fee8f64d7,0
23dc39ff9,10
7aadf5788,90
49d92b0fa,73
f63e31c07,50
a7f5aa9e1,49
8ec591a5f,102
c4e9c02ff,103
546288673,24
a1de424ca,46
fdf943f70,0
211f1e6b0,28
bc4fa92f7,21
ba071632a,103
0b7d1e705,28
9cfb11742,47
5830acfb7,75
46943abe1,4
65e52155d,4
530a6def9,93
cdcc76abf,73
273b395d0,0
c0ea53298,102
896d75c87,49
714f0ef54,4
c55e108f7,83
bf6528e54,103
18855109b,75
a10664925,79
9c842248c,47
2c35f999f,83
742d0c370,0
47d8325ca,83
2ee8c8168,4
5e5387edc,67
731633ef2,68
be3eb827d,5
421043adc,48
9ec4b6914,93
e661ff835,67
f71d2fc94,86
6e1c851e0,82
1a7173264,50
0d8b2ead5,93
e35f4c3d3,68
f2c674087,81
6d957b050,19
717855401,48
cb768c455,42
a5227acb4,72
9356c9167,73
3976fd72b,73
eeeb0d485,102
0580ef018,102
3ec386763,103
b372a65aa,81
a70152632,91
f14ab3321,53
e4a504c58,1
ac826c2e6,67
b5656ac59,47
5401fe758,90
af0b56bbc,103
2c4189a9c,56
2987793ad,10
b78a26cef,63
960f860d8,55
9d3466827,10
a51516e88,73
c14915eac,43
65acf1f0a,39
2b175d031,29
8c402991f,102
0cfc358c9,103
91b11e0dd,55
542daf56c,50
a3ed2af1f,103
2df8e5fe3,69
28fb37667,13
6315f56fb,14
7edc42fe9,16
d0be25193,49
61c8dfea8,67
64d9e3f88,48
390828496,90
7fb03afce,8
a8233bbb1,57
02590f8cb,102
ff4cafe21,49
eb1c689d6,91
51d6c922a,28
ae346b162,50
c80c219d2,46
b752326d5,102
383483915,49
17926f2cf,96
bd8a60d0b,12
